id_cliente,cliente,correo,telefono,email_valido,telefono_valido
CL1066,Diego Pérez,cliente6630@gmail.com,73670802,True,True
CL1067,Valeria Santos,cliente6721@correo.sv,75059296,True,True
CL1068,Elena Hernández,cliente6866@correo.sv,79903500,True,True
CL1069,Carmen Hernández,cliente6987@empresa.com,73102129,True,True
CL1070,Fernando Martínez,cliente7078@outlook.com,73903770,True,True
CL1071,Paola Rivera,cliente7138@outlook.com,75639049,True,True
CL1072,Ana Flores,cliente7267@outlook.com,77732877,True,True
CL1073,Luis Ramírez,cliente7390@correo.sv,78959321,True,True
CL1074,Andrés Gómez,cliente7495@gmail.com,71944270,True,True
CL1075,Luis Romero,cliente7575@correo.sv,77403446,True,True
CL1076,Camila Mejía,cliente7671@gmail.com,78036041,True,True
CL1078,José Rivas,cliente7889@outlook.com,76453467,True,True
CL1080,Carlos Martínez,cliente8090@outlook.com,72259308,True,True
CL1081,Carmen Ramírez,cliente8118@empresa.com,74895460,True,True
CL1082,Sofía Pérez,cliente8254@outlook.com,78351095,True,True
CL1083,Marta Mendoza,cliente8321@correo.sv,76069668,True,True
CL1085,Lucía Rivera,cliente8579@outlook.com,77147792,True,True
CL1087,Paola Reyes,cliente8776@gmail.com,78003634,True,True
CL1088,Paola Hernández,cliente8897@empresa.com,75660174,True,True
CL1089,Ana Pérez,cliente8999@outlook.com,78671833,True,True
CL1090,Daniela Ramírez,cliente9079@correo.sv,79075552,True,True
CL1091,Andrés Mejía,cliente914@outlook.com,71675779,True,True
CL1093,Fernando Vásquez,cliente9380@outlook.com,75012614,True,True
CL1095,Ana Mendoza,cliente9513@outlook.com,78789724,True,True
CL1096,Marta Cruz,cliente966@empresa.com,78181018,True,True
CL1097,Elena Rivera,cliente9728@gmail.com,74843131,True,True
CL1098,Paola Pérez,cliente9823@correo.sv,72726981,True,True
CL1099,Jorge Morales,cliente9956@outlook.com,79683806,True,True
CL1101,Luis Mendoza,cliente10178@outlook.com,71683242,True,True
CL1102,Luis Pérez,cliente10284@gmail.com,77265676,True,True
CL1103,María Guerrero,cliente10354@outlook.com,73202233,True,True
CL1104,Elena Romero,cliente10431@empresa.com,74238390,True,True
CL1106,Daniela Hernández,cliente10698@outlook.com,71333405,True,True
CL1107,Ricardo Pérez,cliente10775@empresa.com,72106131,True,True
CL1108,Diego Ramírez,cliente10895@correo.sv,72214715,True,True
CL1109,Andrés Gómez,cliente1093@correo.sv,79564754,True,True
CL1110,Camila Reyes,cliente11040@correo.sv,79457963,True,True
CL1112,Camila Morales,cliente11273@outlook.com,79330666,True,True
CL1114,Valeria Castro,cliente11439@correo.sv,74216458,True,True
CL1115,Pedro Guerrero,cliente11565@outlook.com,76440685,True,True
CL1116,José Vásquez,cliente11687@outlook.com,77581403,True,True
CL1117,María Martínez,cliente11721@outlook.com,74335450,True,True
CL1118,Andrés Ramírez,cliente11830@correo.sv,79663416,True,True
CL1119,Elena Martínez,cliente11996@gmail.com,74582467,True,True
CL1120,Sofía Ramírez,cliente12013@empresa.com,74229097,True,True
CL1121,José Rivas,cliente12181@outlook.com,71585714,True,True
CL1122,José Santos,cliente12290@gmail.com,79669302,True,True
CL1123,Ricardo Reyes,cliente12364@correo.sv,74254075,True,True
CL1124,José Guerrero,cliente12430@outlook.com,76021634,True,True
CL1125,Andrés López,cliente12580@correo.sv,75691576,True,True
CL1127,Lucía Mendoza,cliente12735@empresa.com,75813994,True,True
CL1128,Andrés Cruz,cliente12872@empresa.com,73297887,True,True
CL1129,Ricardo Hernández,cliente12935@outlook.com,77561387,True,True
CL1130,Valeria Guerrero,cliente13020@outlook.com,76381255,True,True
CL1131,Diego Morales,cliente13125@gmail.com,73120416,True,True
CL1132,Luis Romero,cliente13285@gmail.com,75148397,True,True
CL1133,Valeria Hernández,cliente13353@empresa.com,73560687,True,True
CL1134,Pedro Cruz,cliente13463@gmail.com,72291683,True,True
CL1135,Fernando López,cliente13524@correo.sv,77243091,True,True
CL1136,María Martínez,cliente13642@gmail.com,74902768,True,True
CL1137,Elena Mendoza,cliente13756@empresa.com,77119806,True,True
CL1138,Pedro Vásquez,cliente13813@correo.sv,72784362,True,True
CL1139,Paola Santos,cliente13982@gmail.com,78348820,True,True
CL1091,Andrés Mejía,cliente914@outlook.com,71675779,True,True
CL1083,Marta Mendoza,cliente8321@correo.sv,76069668,True,True
CL1065,Jorge Flores,cliente6549@outlook.com,74058523,True,True
CL1139,Paola Santos,cliente13982@gmail.com,78348820,True,True
